"Date","Region","Units_sold","price_per_unit","revenue","marketing_spend","delivery_minutes"
"03/15","Northeast",21,46.07,967.47,1265.66,113
"03/16","West",18,52.73,949.14,1184.62,101
"03/17","West",17,27.12,461.04,1613.58,37
"03/18","Northeast",61,7.56,461.16,150.01,38
"03/19","Midwest",59,41.37,2440.83,163.04,85
"03/20","Northeast",66,20.87,1377.42,793.42,93
"03/21","South",38,5.82,221.16,1737.2,31
"03/22","South",0,16.17,0,920.18,119
"03/23","Northeast",54,5.53,298.62,908.198115942029,68
"03/24","Northeast",27,38.38,1036.26,326.64,114
"03/25","Northeast",42,15.29,642.18,562.39,120
"03/26","South",54,42,2268,1942.2,120
"03/27","South",52,32.68,1699.36,212.8,33
"03/28","South",8,8.5,68,106.6,98
"03/29","Midwest",70,35.77,2503.9,1158.43,99
"03/30","South",12,13.41,160.92,1671.53,86
"03/31","Northeast",40,48.37,1934.8,558.12,120
"04/01","South",41,53.93,2211.13,190.04,19
"04/02","West",67,23.79,1593.93,1179.85,103
"04/03","Midwest",18,42.86,771.48,928.875555555556,88
"04/04","South",62,22.36,1386.32,317.23,86
"04/05","Northeast",52,30.69,1595.88,129.57,75
"04/06","South",25,12.21,305.25,105.43,120
"04/07","South",50,5.11,255.5,1363.87,14
"04/08","Midwest",2,29.89,59.78,1632.91,112
"04/09","South",58,54.28,3148.24,594.31,85
"04/10","South",15,21.21,318.15,946.064642857143,12
"04/11","West",8,33.29,266.32,1114.53,120
"04/12","Northeast",38,9.12,346.56,927.27,120
"04/13","West",55,10.5,577.5,1448.91,10
"04/14","South",47,56.06,2634.82,369.45,120
"04/15","Northeast",8,11.11,88.88,1881.08,45
"04/16","West",38,53.84,2045.92,267.11,45
"04/17","South",25,6.89,172.25,1522.7,15
"04/18","South",1,16.75,16.75,1230.27,90
"04/19","Northeast",28,45.64,1277.92,908.198115942029,79
"04/20","Northeast",74,21.54,1593.96,908.198115942029,99
"04/21","South",14,11.18,156.52,867.15,79
"04/22","Midwest",15,15.75,236.25,928.875555555556,22
"04/23","South",55,46.77,2572.35,1310.83,56
"04/24","South",58,33.25,1928.5,967.57,19
"04/25","South",7,22.77,159.39,858.94,20
"04/26","Midwest",38,25.11,954.18,912.65,12
"04/27","West",3,54.75,164.25,1010.97,96
"04/28","Northeast",32,17.99,575.68,1076.53,100
"04/29","South",17,24.92,423.64,1177.1,66
"04/30","Midwest",20,13.32,266.4,425.37,40
"05/01","South",46,55.82,2567.72,266.65,75
"05/02","Northeast",26,21.43,557.18,631.83,82
"05/03","South",20,44.77,895.4,165.18,76
"05/04","Northeast",57,29.94,1706.58,908.198115942029,43
"05/05","West",52,52.77,2744.04,1124.01541666667,56
"05/06","South",69,5.82,401.58,176.67,115
"05/07","West",0,19.63,0,1816.49,94
"05/08","Midwest",40,25.4,1016,370.92,62
"05/09","Northeast",49,5.31,260.19,639.1,102
"05/10","Midwest",50,48.57,2428.5,810.02,43
"05/11","Midwest",57,9.47,539.79,326.7,120
"05/12","Midwest",61,6.23,380.03,239.63,109
"05/13","South",46,35.75,1644.5,1419.42,35
"05/14","Northeast",42,59.75,2509.5,819.03,44
"05/15","South",13,26.07,338.91,1622.89,95
"05/16","Northeast",31,52.89,1639.59,771.2,69
"05/17","West",61,16.62,1013.82,1353.46,93
"05/18","Northeast",24,50.58,1213.92,230.97,19
"05/19","South",74,8.15,603.1,552.62,53
"05/20","Midwest",26,59.12,1537.12,998.3,35
"05/21","Northeast",41,14.7,602.7,50.6,117
"05/22","Midwest",33,52.14,1720.62,1195.56,74
"05/23","West",71,47.69,3385.99,1992.93,120
"05/24","West",63,54.61,3440.43,1751.7,37
"05/25","South",33,14.72,485.76,1692.89,108
"05/26","Midwest",10,46.32,463.2,238.02,49
"05/27","Midwest",39,52.03,2029.17,386.36,97
"05/28","South",22,41.03,902.66,924.21,19
"05/29","South",24,51.07,1225.68,1963.23,102
"05/30","Northeast",4,56.77,227.08,1463.05,37
"05/31","South",24,10.47,251.28,963.58,60
"06/01","West",12,31.35,376.2,382.59,71
"06/02","West",1,36.1,36.1,1752.36,120
"06/03","South",57,24.26,1382.82,225.64,70
"06/04","Midwest",24,22.96,551.04,1014.25,85
"06/05","West",16,32.92,526.72,310.57,16
"06/06","Midwest",22,25.98,571.56,1525.03,51
"06/07",NA,51,8.49,432.99,1039.5,85
"06/08",NA,37,17.32,640.84,973.65,59
"06/09","West",54,41.14,2221.56,1124.01541666667,120
"06/10","South",25,42.51,1062.75,1926.79,120
"06/11","West",16,32.04,512.64,354.97,120
"06/12","South",26,32.02,832.52,933.29,45
"06/13","South",50,59.42,2971,946.064642857143,14
"06/14","Midwest",0,43.62,0,709.06,88
"06/15","Midwest",74,37.24,2755.76,606.7,29
"06/16","South",3,40.84,122.52,1581.29,12
"06/17","Northeast",43,57.33,2465.19,118.9,95
"06/18","Northeast",59,41.76,2463.84,1553.68,76
"06/19","West",51,12.86,655.86,1689.76,108
"06/20","South",48,36.64,1758.72,1379.04,120
"06/21",NA,76,12.59,956.84,1913.8,25
"06/22","West",78,38.63,3013.14,1694,87
"06/23","West",67,41.14,2756.38,541.08,120
"06/24","Midwest",70,17.81,1246.7,369.19,93
"06/25","South",42,26.34,1106.28,1464.16,29
"06/26","South",55,14.53,799.15,1620.73,77
"06/27","Midwest",29,13.64,395.56,1157.57,118
"06/28","West",19,33.87,643.53,487.48,86
"06/29","Northeast",10,47.68,476.8,261.53,102
"06/30",NA,10,36.88,368.8,1830.51,37
"07/01","South",41,36.66,1503.06,1754.77,101
"07/02","Midwest",0,5.3,0,928.875555555556,84
"07/03","South",3,5.98,17.94,946.064642857143,67
"07/04","South",16,10.37,165.92,1458.46,99
"07/05","Northeast",44,37.61,1654.84,710.75,28
"07/06","Midwest",42,57.76,2425.92,1217.86,46
"07/07","Northeast",37,31.78,1175.86,1823.95,68
"07/08","South",26,39.22,1019.72,301.91,62
"07/09","Northeast",2,9.16,18.32,908.198115942029,107
"07/10","West",8,13.93,111.44,1313.39,29
"07/11","South",13,49.66,645.58,946.064642857143,75
"07/12","Midwest",70,52.48,3673.6,1408.29,39
"07/13","Midwest",40,23.07,922.8,1092.82,18
"07/14","West",70,6.52,456.4,378.52,37
"07/15","Northeast",38,29.22,1110.36,908.198115942029,58
"07/16","Midwest",6,29.84,179.04,709.62,40
"07/17","South",28,37.82,1058.96,1187.07,30
"07/18","Midwest",42,16.53,694.26,846.82,70
"07/19","West",43,59.61,2563.23,1124.01541666667,100
"07/20","Midwest",29,25.34,734.86,930.76,56
"07/21","South",56,14.8,828.8,462.21,60
"07/22","Midwest",67,30.71,2057.57,1484.63,120
"07/23","South",7,16.38,114.66,946.064642857143,51
"07/24","Northeast",0,24.73,0,1941.67,55
"07/25","Northeast",19,40.54,770.26,214.21,104
"07/26","West",62,20.5,1271,348.39,110
"07/27","Midwest",35,44.84,1569.4,976.05,43
"07/28","South",73,45.2,3299.6,946.064642857143,120
"07/29","Northeast",18,10.8,194.4,1756.47,66
"07/30","Midwest",21,28.05,589.05,1753.08,77
"07/31","Midwest",46,41.98,1931.08,1075.15,14
"08/01","West",54,15.73,849.42,1360.49,56
"08/02","Northeast",5,33.93,169.65,1681.38,19
"08/03","Northeast",28,17.06,477.68,236.14,120
"08/04","South",33,13.12,432.96,1646.18,102
"08/05",NA,49,24.71,1210.79,27.41,46
"08/06","Midwest",77,23.3,1794.1,762.17,77
"08/07","Midwest",61,45.69,2787.09,1693.4,120
"08/08","South",62,21.47,1331.14,1427.18,55
"08/09","West",23,19.18,441.14,1644.41,65
"08/10","Northeast",53,41.21,2184.13,1454.66,81
"08/11","West",49,33.36,1634.64,1124.01541666667,91
"08/12","Northeast",9,52.86,475.74,111.95,99
"08/13","Midwest",18,29.72,534.96,1331.58,43
"08/14","West",57,11.16,636.12,1502.69,33
"08/15","West",34,28.99,985.66,577.87,19
"08/16",NA,44,35.58,1565.52,264.5,83
"08/17","West",29,13.83,401.07,1029.86,19
"08/18","Midwest",60,26.69,1601.4,928.875555555556,105
"08/19","Midwest",3,36.17,108.51,1168.5,64
"08/20","Northeast",23,7.55,173.65,1490.16,120
"08/21","Northeast",19,57.96,1101.24,1384.19,84
"08/22","Midwest",76,14.24,1082.24,1105.21,120
"08/23","South",72,43.72,3147.84,946.064642857143,99
"08/24","West",57,46.68,2660.76,1746.54,41
"08/25","South",75,20.6,1545,508.86,51
"08/26","Midwest",27,54.09,1460.43,928.875555555556,66
"08/27","West",79,26.38,2084.02,501.99,101
"08/28","Midwest",8,23.01,184.08,1478.35,105
"08/29","Midwest",80,32.29,2583.2,1957.77,12
"08/30","Northeast",60,19.2,1152,908.198115942029,120
"08/31","South",68,29.22,1986.96,380.68,65
"09/01","Northeast",66,31.84,2101.44,36.7,32
"09/02","West",17,24.77,421.09,1015.43,53
"09/03","South",57,34.55,1969.35,1441.87,63
"09/04","Midwest",60,17.76,1065.6,928.875555555556,86
"09/05","South",20,32.4,648,1814.43,42
"09/06","Northeast",12,11.49,137.88,1038.43,42
"09/07","Midwest",33,29.98,989.34,43.57,90
"09/08","Northeast",42,57.17,2401.14,175.55,120
"09/09","Midwest",33,11.66,384.78,801.29,35
"09/10","West",73,25.64,1871.72,109.91,53
"09/11","South",27,47.27,1276.29,80.64,25
"09/12","West",29,37.6,1090.4,1698.52,74
"09/13",NA,9,26.73,240.57,1188.69,71
"09/14","West",34,30.3,1030.2,1901.89,120
"09/15","West",1,32.03,32.03,1124.01541666667,68
"09/16","Midwest",51,7.33,373.83,81.47,39
"09/17","Midwest",65,17.15,1114.75,622.23,46
"09/18","Midwest",45,55.88,2514.6,758.32,17
"09/19","West",36,26.33,947.88,529.58,17
"09/20","Midwest",26,30.79,800.54,1536.13,81
"09/21","South",2,50.97,101.94,1278.48,32
"09/22","South",41,20.95,858.95,1180.49,84
"09/23","West",21,34.73,729.33,1493.91,32
"09/24","South",19,59.93,1138.67,942.19,107
"09/25","Midwest",35,38.26,1339.1,1449.74,120
"09/26","Midwest",56,51.27,2871.12,206.69,90
"09/27","West",79,57.13,4513.27,1124.01541666667,49
"09/28","South",53,8.19,434.07,946.064642857143,40
"09/29","South",16,41.99,671.84,14.33,53
"09/30","South",4,44.59,178.36,55.96,120
"10/01","West",60,34.25,2055,490.49,49
"10/02","West",46,39.75,1828.5,1838.17,26
"10/03","Northeast",4,10.7,42.8,1531.45,90
"10/04","South",23,20.64,474.72,1704.05,110
"10/05","South",80,46.4,3712,41.24,80
"10/06","South",26,56.82,1477.32,514.84,80
"10/07","West",72,40.16,2891.52,1103.55,41
"10/08","Midwest",11,31.88,350.68,549.62,50
"10/09","Northeast",19,30.42,577.98,127.2,45
"10/10","South",5,15.87,79.35,1559.48,103
"10/11","West",30,36.57,1097.1,1124.01541666667,115
"10/12","West",34,40.77,1386.18,1507.13,20
"10/13","South",69,20.01,1380.69,1435.71,29
"10/14","West",72,22.25,1602,950.49,105
"10/15","Northeast",10,13.1,131,478.34,33
"10/16","West",76,30.06,2284.56,987.51,82
"10/17","Northeast",23,22.02,506.46,1676.48,73
"10/18","West",72,49.31,3550.32,727.08,39
"10/19","Midwest",30,52.38,1571.4,928.875555555556,68
"10/20","Northeast",23,35.68,820.64,608.11,104
"10/21","Midwest",69,15.28,1054.32,1487.07,95
"10/22","Northeast",22,38.54,847.88,1802.49,73
"10/23","West",67,22.74,1523.58,259.04,77
"10/24","Midwest",1,13.35,13.35,639.81,15
"10/25","Midwest",16,17.06,272.96,108.38,56
"10/26","Northeast",70,23.36,1635.2,1859.76,63
"10/27","Midwest",37,36.46,1349.02,686.57,108
"10/28","Midwest",10,49.23,492.3,194.9,101
"10/29",NA,48,24.08,1155.84,2.05,29
"10/30","West",61,24.24,1478.64,632.02,120
"10/31","South",23,15.12,347.76,946.064642857143,56
"11/01","South",59,22.46,1325.14,331.89,87
"11/02","West",36,39.11,1407.96,1124.01541666667,40
"11/03","West",72,41.39,2980.08,1500.33,81
"11/04","South",17,5.56,94.52,412.41,63
"11/05","Northeast",30,56.84,1705.2,586.22,59
"11/06","West",46,48.87,2248.02,517.02,94
"11/07","South",51,31.1,1586.1,82.59,54
"11/08","South",27,34.47,930.69,1254.24,98
"11/09","South",75,34.33,2574.75,141.66,115
"11/10","Midwest",48,51.72,2482.56,1030.17,14
"11/11","Midwest",47,9.35,439.45,1088.16,44
"11/12",NA,57,41.05,2339.85,1232.12,29
"11/13","West",65,39.22,2549.3,1841.18,107
"11/14","Northeast",33,34.68,1144.44,1402.75,78
"11/15","Northeast",45,46.17,2077.65,556.18,101
"11/16","Northeast",17,53.37,907.29,785.21,28
"11/17",NA,74,25.37,1877.38,743.95,26
"11/18","South",0,36.64,0,680.19,71
"11/19","Midwest",50,31.11,1555.5,95.37,102
"11/20","West",8,51.79,414.32,1231.33,31
"11/21","Midwest",44,53.64,2360.16,55.12,41
"11/22","Northeast",2,59.03,118.06,645.97,100
"11/23","West",63,36.86,2322.18,1124.01541666667,41
"11/24",NA,57,13.32,759.24,1865.62,110
"11/25","Northeast",7,57.3,401.1,1835.66,120
"11/26","South",21,15.39,323.19,377.66,69
"11/27","Northeast",68,31.55,2145.4,1462.49,71
"11/28","West",39,33.37,1301.43,708.16,32
"11/29","Midwest",45,6.53,293.85,236.78,50
"11/30","Northeast",7,50,350,1947.1,16
"12/01","Midwest",46,11.04,507.84,1308.48,11
"12/02","West",34,59.34,2017.56,1158.34,65
"12/03","Midwest",20,40.1,802,1320.83,58
"12/04","West",57,43.58,2484.06,1083.95,120
"12/05","Midwest",44,31.28,1376.32,928.875555555556,11
"12/06","Midwest",8,26.16,209.28,566.26,39
"12/07","South",51,9.9,504.9,676.16,61
"12/08","South",6,59.95,359.7,963.99,105
"12/09",NA,72,57.52,4141.44,294.34,60
"12/10","South",62,16.56,1026.72,1521.3,92
"12/11","West",68,16.54,1124.72,203.75,45
"12/12","South",60,29.41,1764.6,1405.06,103
"12/13","Northeast",0,39.59,0,1365.18,85
"12/14","Northeast",16,5.87,93.92,1641,104
"12/15","South",63,5.6,352.8,1186.74,87
"12/16","South",21,9.62,202.02,867.56,18
"12/17","West",80,35.66,2852.8,420.86,51
"12/18","West",29,18.77,544.33,1441.83,28
"12/19","Northeast",75,48.92,3669,908.198115942029,120
"12/20","Northeast",27,54.7,1476.9,298.38,10
"12/21","West",22,47.6,1047.2,1124.01541666667,94
"12/22","Midwest",71,56.09,3982.39,1803.51,111
"12/23","Northeast",21,13.6,285.6,1192.13,72
"12/24","West",25,45.98,1149.5,1346.17,49
"12/25","Northeast",12,6.7,80.4,1192.59,98
"12/26","Midwest",67,12.07,808.69,116.24,102
"12/27","West",51,35.27,1798.77,909.85,74
"12/28","Northeast",23,16.58,381.34,908.198115942029,30
"12/29","Northeast",77,27.55,2121.35,67.18,14
"12/30","Midwest",7,11.03,77.21,1089.68,32
"12/31","Midwest",60,30.54,1832.4,1308.83,54
